Category,Subcategory,Item,Details
Destination,Cities,Lisbon - Capital city with historic trams and Belem Tower  https://www.visitlisboa.com/fr https://www.villeintelligente-mag.fr/photo/art/grande/43074942-35669534.jpg
Destination,Cities,Porto - Famous for port wine and Dom Luís I Bridge https://visiterporto.fr/ https://porto-north-portugal.com/fr/vallee-du-douro-portugal-fr.html https://pohcdn.com/sites/default/files/styles/node__blog_post__bp_banner/public/2023-08/shutterstock_387889342_0.jpg
Destination,Cities,Sintra - Romantic town with colorful Pena Palace 
Destination,Cities,other links - https://www.linternaute.com/voyage/europe/1295750-le-portugal-comme-vous-ne-l-avez-jamais-vu
Destination,Hotel,Hotel details and accommodation information... \n Porto https://www.visitportugal.com/en/search/site/?regioes=285&localidades=345&context=490
Destination,Hotel,for Porto https://visiterporto.fr/hotels.html
Destination,Weather,Weather information and forecasts https://itsrim.github.io/meteo/
Transport,Airport,Name,Humberto Delgado Airport (Lisbon Airport) https://www.lisbonairport.pt/en/lis/home
Transport,Airport,Distance,7km from city center
Transport,Airport,Option,Metro: Red Line
Transport,Airport,Option,Aerobus: Lines 1 and 2
Transport,Airport,Option,Airport shuttle
Transport,Airport,Name,aéroport de Porto (OPO) (Lisbon Airport) https://visiterporto.fr/transport-aeroport-porto.html
Transport,Airport,Distance,12km from city center
Transport,Airport,Option,Airport shuttle
Transport,Airport,Option,Airport shuttle
Transport,Airport,Option,Airport shuttle
Transport,Train,Station,Santa Apolónia
Transport,Train,Station,Rossio
Transport,Train,Station,Oriente
Transport,Train,Company,CP (Comboios de Portugal)
Transport,Train,Company,International connections
Transport,Bus,Local,Carris - City bus network
Transport,Bus,Local,https://www.stcp.pt/en/travel/  ou  https://resendeturismo.com/
Transport,Bus,Taxi,Official taxi stands
Transport,Bus,Taxi,Uber and other ride-sharing services
Agenda,Sam. 12 Juillet,09:00,https://www.lisbonairport.pt/en/lis/home \n départ
Agenda,Sam. 12 Juillet,12:00,Sergio et Yann en attendant \n 🏳️‍🌈
Agenda,Sam. 12 Juillet,19:00,Arrivé de Rim 😎
Agenda,Sam. 12 Juillet,21:00,Pub crawl saturday night barrio alto
Agenda,Dim. 13 Juillet,09:00,Direction Guettho Lisbonne
Agenda,Dim. 13 Juillet,12:00,Fête du Daron,
Agenda,Dim. 13 Juillet,14:00,https://cms.infoportugal.info/media/fotos/final/Carrazeda_de_Ansiaes/CRZ2536.jpg
Agenda,Dim. 13 Juillet,16:00,https://t4.ftcdn.net/jpg/06/29/95/29/240_F_629952920_nYRvIwxetC71E7rqraM7N7YF2e0wIv7H.jpg,
Agenda,Lun. 14 Juillet,09:00,route pour Porto, 
Agenda,Lun. 14 Juillet,12:00,Sergio et Yann aux bar gays 🏳️‍🌈
Agenda,Lun. 14 Juillet,14:00,Rim occupé 🏳️‍🌈
Agenda,Lun. 14 Juillet,21:00,resto entre keums 🏳️‍🌈
Agenda,Mar. 15 Juillet,09:00,Ponte Dom Luís I (Pont Louis Ier)https://as1.ftcdn.net/v2/jpg/06/68/10/74/1000_F_668107450_NUmMHt1J40UzKb8CCZ3OMovkgEFgIKPS.jpg https://visiterporto.fr/
Agenda,Mar. 15 Juillet,12:00,Quartier Ribeira \n https://visiterporto.fr/images/visiter-porto.jpeg 
Agenda,Mar. 15 Juillet,14:00,https://visiterporto.fr/images/sites-touristiques-porto.jpeg
Agenda,Mar. 15 Juillet,16:00,Maisons de vin de porto : Vila Nova de Gaia https://visiterporto.fr/que_faire_a_porto.html
Agenda,Mer. 16 Juillet,09:00,la Torre dos Clérigos https://www.torredosclerigos.pt/wp-content/uploads/2024/07/RUN3314.jpg https://www.torredosclerigos.pt/
Agenda,Mer. 16 Juillet,12:00,Croisière sur le Douro https://cdn.getyourguide.com/img/tour/60a39bae378d5.jpeg/145.jpg https://www.getyourguide.com/fr-fr/vila-nova-de-gaia-l91806/croisieres-sur-le-douro-tourisme-t394820/?ranking_uuid=6df9ce1f-dec2-4aaf-b9f7-6d02389e4155
Agenda,Mer. 16 Juillet,14:00,Cathédrale de Porto https://aws-tiqets-cdn.imgix.net/images/content/95947c19123c4f3698fe5d4cce192005.jpeg
Agenda,Mer. 16 Juillet,16:00,Palacio da Bolsa et Les deux églises « Carmo & Carmelitas »  Conservas Pinhais à Matosinhos
Agenda,Jeu. 17 Juillet,09:00,Gare ferroviaire de São Bento https://visiterporto.fr/images/attractions-porto-portugal.jpeg
Agenda,Jeu. 17 Juillet,12:00,musee du vin degustaiont 1h30 https://www.getyourguide.com/porto-l151/porto-billets-et-degustations-pour-l-exposition-wow-the-wine-t409325/?ranking_uuid=3dc10afd-c1d3-43e8-acf5-653c81b5843a
Agenda,Jeu. 17 Juillet,14:00,Porto : le funiculaire https://thumbs.dreamstime.com/z/pont-de-dom-luis-i-à-porto-et-funiculaire-en-gaïa-49404378.jpg?ct=jpeg
Agenda,Jeu. 17 Juillet,16:00,Igreja de São Francisco Avenida dos Aliados
Agenda,Ven. 18 Juillet,09:00,route ver DOURO https://cdn.getyourguide.com/img/tour/a32b862075be56fd.jpeg/145.jpg
Agenda,Ven. 18 Juillet,12:00,Vallée du Douro : Visite des vignobles avec déjeuner dégustations et croisière fluviale
Agenda,Ven. 18 Juillet,14:00,your activity
Agenda,Ven. 18 Juillet,16:00,your activity
Agenda,Sam. 19 Juillet,09:00,Funicular dos Guindais
Agenda,Sam. 19 Juillet,12:00,shopping autour de Rua Santa Catarina
Agenda,Sam. 19 Juillet,14:00,Fondation Serralves et Pastéis de Nata dans la Rua das Flores
Agenda,Sam. 19 Juillet,16:00,Jardins do Palacio de Cristal https://images-production.gardenvisit.com/uploads/images/18561/palacio_cristal_garden_original.jpg
Agenda,Dim. 20 Juillet,09:00,your activity
Agenda,Dim. 20 Juillet,12:00,your activity
Agenda,Dim. 20 Juillet,14:00,your activity
Agenda,Dim. 20 Juillet,16:00,your activity
Agenda,Lun. 21 Juillet,09:00,your activity
Agenda,Lun. 21 Juillet,12:00,your activity
Agenda,Lun. 21 Juillet,14:00,your activity
Agenda,Lun. 21 Juillet,16:00,your activity
Practical Info,112,Emergency Numbers
Practical Info,numero de sergio,Local Customs
Practical Info,famille de Sergio,Currency Information
Contacts,Kenji Girac,Hotel Contact
Contacts,112,Emergency Numbers
Contacts,Gordon,Tour Guides
trip-background, ,
trip-destination, ,
trip-calendar, ,
trip-info, ,
trip-transport, ,
trip-contacts, ,
title,Portugal (local) 
dateTitle,12 - 20 Juillet 2025